date,spot_price,open,close,high,low,basis,cost
2024-01-18,5373.4239,5344.6,5344.6,5344.6,5344.6,28.82389999999941,1.3517680598398076
2024-01-19,5306.9862,5322.8,5322.8,5322.8,5322.8,-15.8137999999999,
2024-01-22,5000.8336,4830.4,4830.4,4830.4,4830.4,170.4336000000003,0.5725614385569648
2024-01-23,5079.6315,4998.0,4998.0,4998.0,4998.0,81.63150000000041,0.2892664556474239
2024-01-24,5143.4078,5090.8,5090.8,5090.8,5090.8,52.60779999999977,0.1982697092831652
2024-01-25,5316.195,5306.6,5306.6,5306.6,5306.6,9.594999999999343,0.0379021085569634
2024-01-26,5269.7646,5216.8,5216.8,5216.8,5216.8,52.964600000000246,0.2302514302752046
2024-01-29,5131.2465,5063.0,5063.0,5063.0,5063.0,68.2465000000002,0.3351645258125885
2024-01-30,4984.6598,4907.2,4907.2,4907.2,4907.2,77.45980000000054,0.4351098143147131
2024-01-31,4785.032,4727.2,4727.2,4727.2,4727.2,57.832000000000335,0.380709679684485
2024-02-01,4750.4439,4699.2,4699.2,4699.2,4699.2,51.2439000000004,0.3883385297950817
2024-02-02,4574.6692,4507.2,4507.2,4507.2,4507.2,67.46920000000046,0.6194341658627511
2024-02-05,4293.0695,4176.6,4176.6,4176.6,4176.6,116.46949999999924,1.3673346774376611
2024-02-06,4592.4444,4609.0,4609.0,4609.0,4609.0,-16.555599999999686,-0.2271127768035646
2024-02-07,4797.8456,4825.0,4825.0,4825.0,4825.0,-27.15440000000035,-0.4754153822707487
2024-02-08,4993.1046,5002.4,5002.4,5002.4,5002.4,-9.295399999999972,-0.2345675674409057
2024-02-19,5029.5861,4985.4,4985.4,4985.4,4985.4,44.186100000000806,
2024-02-20,5046.0121,4989.0,4989.0,4989.0,4989.0,57.01209999999992,0.1581782572419909
2024-02-21,5073.4821,5001.4,5001.4,5001.4,5001.4,72.08210000000054,0.2106070561304971
2024-02-22,5151.5343,5122.4,5122.4,5122.4,5122.4,29.13430000000062,0.0890735067026555
2024-02-23,5225.6697,5217.0,5217.0,5217.0,5217.0,8.669700000000375,0.0278722093744283
2024-02-26,5255.3962,5215.0,5215.0,5215.0,5215.0,40.396200000000135,0.1383590451277493
2024-02-27,5394.0342,5386.0,5386.0,5386.0,5386.0,8.034200000000055,0.0288726157730104
2024-02-28,5152.0519,5117.6,5117.6,5117.6,5117.6,34.45190000000002,0.1404275255845152
2024-02-29,5344.6052,5333.8,5333.8,5333.8,5333.8,10.805199999999786,0.0463153591009686
2024-03-01,5401.9394,5392.0,5392.0,5392.0,5392.0,9.939400000000203,0.0463672139676363
2024-03-04,5428.3356,5383.4,5383.4,5383.4,5383.4,44.935600000000704,0.2317831638854494
2024-03-05,5375.1317,5311.4,5311.4,5311.4,5311.4,63.731700000000274,0.3734882533203807
2024-03-06,5381.4587,5345.0,5345.0,5345.0,5345.0,36.458700000000135,0.2438954330356572
2024-03-07,5303.2766,5277.0,5277.0,5277.0,5277.0,26.276600000000144,0.2081010068379247
2024-03-08,5370.3719,5348.0,5348.0,5348.0,5348.0,22.371900000000096,0.2099563644744984
2024-03-11,5466.6455,5463.0,5463.0,5463.0,5463.0,3.645499999999629,0.042012327303824
2024-03-12,5496.3553,5488.2,5488.2,5488.2,5488.2,8.155300000000352,0.1246362657814405
2024-03-13,5521.7838,5517.4,5517.4,5517.4,5517.4,4.38380000000052,0.100032674223874
2024-03-14,5486.6461,5487.0,5487.0,5487.0,5487.0,-0.3539000000000669,-0.0162545202250272
