date,spot_price,open,close,high,low,basis,cost
2021-09-14,3188.2607,3189.0,3189.0,3189.0,3189.0,-0.7393000000001848,-0.0282122997867388
2021-09-15,3146.6337,3149.8,3149.8,3149.8,3149.8,-3.1663000000003194,-0.1836406156840314
2021-09-16,3128.5886,3128.2,3128.2,3128.2,3128.2,0.3886000000002241,0.0453364178339171
2021-09-17,3161.9221,3152.2,3152.2,3152.2,3152.2,9.722099999999957,
2021-09-22,3122.3371,3124.8,3124.8,3124.8,3124.8,-2.4628999999999905,-0.0125179155620025
2021-09-23,3127.8207,3128.2,3128.2,3128.2,3128.2,-0.3792999999996027,-0.0020119221725778
2021-09-24,3145.112,3154.4,3154.4,3154.4,3154.4,-9.288000000000013,-0.0513286285875629
2021-09-27,3199.9747,3211.8,3211.8,3211.8,3211.8,-11.82529999999997,-0.0749352191926877
2021-09-28,3211.1538,3212.6,3212.6,3212.6,3212.6,-1.4461999999998625,-0.0096696597671174
2021-09-29,3199.2259,3217.8,3217.8,3217.8,3217.8,-18.57410000000027,-0.1324450568651657
2021-09-30,3196.9905,3192.4,3192.4,3192.4,3192.4,4.590499999999793,0.0349397868610063
2021-10-08,3256.2613,3260.4,3260.4,3260.4,3260.4,-4.138699999999972,-0.0662734415254517
2021-10-11,3276.4071,3272.6,3272.6,3272.6,3272.6,3.8070999999999913,0.1060301312983919
2021-10-12,3259.3796,3258.8,3258.8,3258.8,3258.8,0.5796000000000276,0.0216354057072698
2021-10-13,3292.7624,3293.4,3293.4,3293.4,3293.4,-0.6376000000000204,-0.0353387174246228
2021-10-14,3270.692,3267.2,3267.2,3267.2,3267.2,3.492000000000189,0.3896973484510352
2021-10-15,3294.8333,3293.6,3293.6,3293.6,3293.6,1.233299999999872,
2021-10-18,3229.6313,3233.2,3233.2,3233.2,3233.2,-3.568699999999808,-0.0126037558451316
2021-10-19,3256.668,3253.6,3253.6,3253.6,3253.6,3.068000000000211,0.0110920811720605
2021-10-20,3254.9981,3260.0,3260.0,3260.0,3260.0,-5.001900000000205,-0.0186963089164335
2021-10-21,3278.5419,3285.0,3285.0,3285.0,3285.0,-6.458099999999831,-0.0247924184707293
2021-10-22,3318.1275,3318.2,3318.2,3318.2,3318.2,-0.0724999999997635,-0.0002848260911356
2021-10-25,3312.3031,3317.2,3317.2,3317.2,3317.2,-4.896899999999732,-0.0215846007570973
2021-10-26,3290.0363,3292.6,3292.6,3292.6,3292.6,-2.5636999999996988,-0.0118508127605336
2021-10-27,3247.0966,3250.0,3250.0,3250.0,3250.0,-2.903400000000147,-0.0141898136483443
2021-10-28,3239.6104,3254.4,3254.4,3254.4,3254.4,-14.789600000000064,-0.0757414870290933
2021-10-29,3267.2491,3269.8,3269.8,3269.8,3269.8,-2.550900000000184,-0.0135701533833385
2021-11-01,3250.915,3255.2,3255.2,3255.2,3255.2,-4.284999999999855,-0.026727945140915
2021-11-02,3212.0258,3214.6,3214.6,3214.6,3214.6,-2.574200000000019,-0.0172070810375485
2021-11-03,3181.4505,3182.0,3182.0,3182.0,3182.0,-0.54950000000008,-0.0039401740652555
2021-11-04,3207.2639,3205.4,3205.4,3205.4,3205.4,1.8638999999998305,0.0141413059274597
2021-11-05,3201.5462,3209.4,3209.4,3209.4,3209.4,-7.853799999999865,-0.0639565300398551
2021-11-08,3196.2701,3193.4,3193.4,3193.4,3193.4,2.870100000000093,0.0297957098067657
2021-11-09,3186.9577,3186.4,3186.4,3186.4,3186.4,0.5576999999998407,0.0063872984570805
2021-11-10,3170.4046,3169.0,3169.0,3169.0,3169.0,1.4045999999998455,0.0179675279720829
2021-11-11,3233.3702,3238.4,3238.4,3238.4,3238.4,-5.02980000000025,-0.070973817040814
2021-11-12,3220.5481,3229.2,3229.2,3229.2,3229.2,-8.651899999999841,-0.1400801266449921
2021-11-15,3221.6866,3229.0,3229.0,3229.0,3229.0,-7.3134000000000015,-0.2071423551874912
2021-11-16,3222.1731,3227.6,3227.6,3227.6,3227.6,-5.426899999999932,-0.2049153825203509
2021-11-17,3208.7759,3205.0,3205.0,3205.0,3205.0,3.775900000000093,0.2147553370741747
2021-11-18,3173.3758,3172.6,3172.6,3172.6,3172.6,0.7757999999998901,0.089232104183789
2021-11-19,3212.9077,3200.4,3200.4,3200.4,3200.4,12.507700000000114,
2021-11-22,3212.1514,3217.0,3217.0,3217.0,3217.0,-4.848599999999806,-0.0220380521291745
2021-11-23,3224.1546,3229.8,3229.8,3229.8,3229.8,-5.645400000000336,-0.0266293449451836
2021-11-24,3231.8354,3242.2,3242.2,3242.2,3242.2,-10.364599999999882,-0.0508942057049607
2021-11-25,3218.0514,3221.4,3221.4,3221.4,3221.4,-3.3486000000002605,-0.0172639623412545
2021-11-26,3187.3579,3188.0,3188.0,3188.0,3188.0,-0.6421000000000276,-0.0035014296712048
2021-11-29,3187.0485,3193.0,3193.0,3193.0,3193.0,-5.951500000000124,-0.0378667580504161
2021-11-30,3165.3496,3172.0,3172.0,3172.0,3172.0,-6.650399999999991,-0.0451097092087382
2021-12-01,3180.418,3184.8,3184.8,3184.8,3184.8,-4.382000000000062,-0.03143120652694
2021-12-02,3190.8718,3196.0,3196.0,3196.0,3196.0,-5.128200000000106,-0.0391072433558778
2021-12-03,3221.4223,3223.8,3223.8,3223.8,3223.8,-2.3777000000000044,-0.0192430640696486
2021-12-06,3228.1422,3233.0,3233.0,3233.0,3233.0,-4.857800000000225,-0.0499329417284137
2021-12-07,3254.4994,3259.6,3259.6,3259.6,3259.6,-5.100599999999758,-0.0572044659157109
2021-12-08,3304.708,3313.2,3313.2,3313.2,3313.2,-8.491999999999734,-0.1042142839179019
2021-12-09,3360.1836,3363.2,3363.2,3363.2,3363.2,-3.016399999999976,-0.0409570625843182
2021-12-10,3353.6302,3363.4,3363.4,3363.4,3363.4,-9.769800000000032,-0.1519026414165419
2021-12-13,3366.0678,3367.0,3367.0,3367.0,3367.0,-0.9322000000001937,-0.0252708070823731
2021-12-14,3350.4973,3356.8,3356.8,3356.8,3356.8,-6.302700000000186,-0.2288700546035504
2021-12-15,3318.9801,3321.0,3321.0,3321.0,3321.0,-2.0198999999997795,-0.1110677795265874
2021-12-16,3330.8561,3330.8,3330.8,3330.8,3330.8,0.0560999999997875,0.0061475186514137
2021-12-17,3278.8985,3284.2,3284.2,3284.2,3284.2,-5.301500000000033,
2021-12-20,3255.3515,3273.0,3273.0,3273.0,3273.0,-17.648499999999785,-0.0618376243318099
2021-12-21,3273.0313,3288.4,3288.4,3288.4,3288.4,-15.36869999999999,-0.0552863788339253
2021-12-22,3260.5711,3274.2,3274.2,3274.2,3274.2,-13.628899999999703,-0.0508555950009277
2021-12-23,3287.1877,3307.8,3307.8,3307.8,3307.8,-20.612300000000232,-0.0789217702456718
2021-12-24,3290.2357,3298.0,3298.0,3298.0,3298.0,-7.764299999999821,-0.0307616856836626
2021-12-27,3278.4365,3304.0,3304.0,3304.0,3304.0,-25.563500000000204,-0.1138430163280586
2021-12-28,3303.4002,3320.8,3320.8,3320.8,3320.8,-17.39980000000014,-0.0801059339807913
2021-12-29,3240.8452,3250.2,3250.2,3250.2,3250.2,-9.354799999999614,-0.045807991290556
2021-12-30,3261.7937,3277.0,3277.0,3277.0,3277.0,-15.206299999999828,-0.0773458912834021
2021-12-31,3274.3209,3279.4,3279.4,3279.4,3279.4,-5.079099999999926,-0.0269611922393107
2022-01-04,3264.0657,3269.8,3269.8,3269.8,3269.8,-5.734300000000076,-0.0377194595432463
2022-01-05,3254.2793,3264.0,3264.0,3264.0,3264.0,-9.720699999999852,-0.0681421132937163
2022-01-06,3210.3853,3212.8,3212.8,3212.8,3212.8,-2.4147000000002663,-0.0183023825831752
2022-01-07,3223.267,3226.8,3226.8,3226.8,3226.8,-3.5330000000003565,-0.028576707155465
2022-01-10,3236.1163,3238.4,3238.4,3238.4,3238.4,-2.283699999999953,-0.0234161294455994
2022-01-11,3214.5287,3217.2,3217.2,3217.2,3217.2,-2.671299999999974,-0.0303318026060899
2022-01-12,3236.3081,3244.4,3244.4,3244.4,3244.4,-8.091899999999896,-0.1014030462674397
2022-01-13,3184.1069,3181.6,3181.6,3181.6,3181.6,2.5069000000003143,0.035921316743482
2022-01-14,3139.0453,3136.8,3136.8,3136.8,3136.8,2.245300000000043,0.0372968039495506
2022-01-17,3147.6987,3147.8,3147.8,3147.8,3147.8,-0.1013000000002648,-0.0029366295446281
2022-01-18,3187.5244,3186.2,3186.2,3186.2,3186.2,1.3243999999999687,0.0505518744682594
2022-01-19,3187.1921,3187.4,3187.4,3187.4,3187.4,-0.2078999999998814,-0.0119044440402649
2022-01-20,3233.7011,3233.6,3233.6,3233.6,3233.6,0.101100000000315,0.0114115370774831
2022-01-21,3218.7352,3214.2,3214.2,3214.2,3214.2,4.535200000000259,
2022-01-24,3209.7445,3222.4,3222.4,3222.4,3222.4,-12.655500000000302,-0.0575654230422392
2022-01-25,3144.949,3148.6,3148.6,3148.6,3148.6,-3.65099999999984,-0.017655492982556
2022-01-26,3163.6743,3166.6,3166.6,3166.6,3166.6,-2.925699999999779,-0.0146758428819683
2022-01-27,3119.2386,3127.8,3127.8,3127.8,3127.8,-8.561400000000049,-0.0455372054869133
2022-01-28,3054.0209,3036.8,3036.8,3036.8,3036.8,17.2208999999998,0.0980070708936999
2022-02-07,3114.2603,3112.6,3112.6,3112.6,3112.6,1.6603000000000063,0.0176901631271085
2022-02-08,3116.5048,3117.0,3117.0,3117.0,3117.0,-0.4951999999998406,-0.0057997022818621
2022-02-09,3139.5636,3139.0,3139.0,3139.0,3139.0,0.5635999999999513,0.0072803465778207
2022-02-10,3145.1126,3146.0,3146.0,3146.0,3146.0,-0.8874000000000706,-0.0128731877516849
2022-02-11,3142.9117,3141.8,3141.8,3141.8,3141.8,1.111699999999928,0.0184437934688732
2022-02-14,3103.997,3105.6,3105.6,3105.6,3105.6,-1.6030000000000657,-0.0471243206742735
2022-02-15,3119.9276,3117.0,3117.0,3117.0,3117.0,2.927599999999984,0.1141665381380413
2022-02-16,3136.0821,3135.4,3135.4,3135.4,3135.4,0.6820999999999913,0.0396938747234959
2022-02-17,3139.1771,3137.8,3137.8,3137.8,3137.8,1.3770999999997002,0.1601188731912867
2022-02-18,3162.8215,3154.0,3154.0,3154.0,3154.0,8.821500000000015,
2022-02-21,3144.8649,3154.2,3154.2,3154.2,3154.2,-9.335099999999784,-0.043338096971986
2022-02-22,3102.3249,3104.6,3104.6,3104.6,3104.6,-2.2750999999998385,-0.0111530804419176
2022-02-23,3118.0376,3123.8,3123.8,3123.8,3123.8,-5.762400000000071,-0.0293283129775908
2022-02-24,3059.6409,3066.6,3066.6,3066.6,3066.6,-6.959100000000035,-0.0377357341034848
2022-02-25,3075.5872,3076.6,3076.6,3076.6,3076.6,-1.0127999999999702,-0.0057235992435598
2022-02-28,3080.7774,3084.8,3084.8,3084.8,3084.8,-4.022600000000239,-0.0264768849865259
2022-03-01,3125.6905,3128.4,3128.4,3128.4,3128.4,-2.7094999999999345,-0.0186117463720511
2022-03-02,3107.2405,3111.6,3111.6,3111.6,3111.6,-4.3595000000000255,-0.0320062427578442
2022-03-03,3097.0887,3099.0,3099.0,3099.0,3099.0,-1.9113000000002105,-0.0150167801135333
2022-03-04,3062.3824,3069.6,3069.6,3069.6,3069.6,-7.217599999999948,-0.0614466510965901
2022-03-07,2974.6762,2969.4,2969.4,2969.4,2969.4,5.27619999999979,0.0588547785775485
2022-03-08,2933.1637,2922.4,2922.4,2922.4,2922.4,10.763699999999972,0.1339424219657417
2022-03-09,2907.1781,2900.0,2900.0,2900.0,2900.0,7.178100000000086,0.1001355346386692
2022-03-10,2933.4611,2927.0,2927.0,2927.0,2927.0,6.461099999999988,0.1004914254700703
2022-03-11,2935.684,2940.0,2940.0,2940.0,2940.0,-4.315999999999804,-0.0766596716228881
2022-03-14,2851.8769,2845.0,2845.0,2845.0,2845.0,6.876900000000205,0.2200365397959532
2022-03-15,2702.8532,2678.6,2678.6,2678.6,2678.6,24.253200000000103,1.0917374276930802
2022-03-16,2827.7497,2828.2,2828.2,2828.2,2828.2,-0.4502999999999701,-0.029061889742239
