date,spot_price,open,close,high,low,basis,cost
2021-09-14,4917.1617,4856.0,4856.0,4856.0,4856.0,61.161699999999655,0.0482981024982831
2021-09-15,4867.3187,4811.0,4811.0,4811.0,4811.0,56.31869999999981,0.0454122221469728
2021-09-16,4807.6978,4767.0,4767.0,4767.0,4767.0,40.69779999999992,0.0335844939809002
2021-09-17,4855.9402,4817.8,4817.8,4817.8,4817.8,38.14019999999982,0.0315036670091042
2021-09-22,4821.7675,4788.8,4788.8,4788.8,4788.8,32.967499999999745,0.0290184467601086
2021-09-23,4853.1957,4809.0,4809.0,4809.0,4809.0,44.195700000000215,0.0391044472602082
2021-09-24,4849.4277,4826.2,4826.2,4826.2,4826.2,23.227700000000368,0.0208127418632848
2021-09-27,4877.3698,4866.0,4866.0,4866.0,4866.0,11.369800000000396,0.010504490340392
2021-09-28,4883.828,4850.2,4850.2,4850.2,4850.2,33.62800000000061,0.0314154695865627
2021-09-29,4833.9281,4827.0,4827.0,4827.0,4827.0,6.928100000000086,0.0066218560324401
2021-09-30,4866.3826,4828.2,4828.2,4828.2,4828.2,38.18260000000009,0.0367161815800279
2021-10-08,4929.9409,4906.8,4906.8,4906.8,4906.8,23.14089999999942,0.0244756005666744
2021-10-11,4936.1918,4908.6,4908.6,4908.6,4908.6,27.59179999999924,0.0304513161975245
2021-10-12,4883.8369,4854.8,4854.8,4854.8,4854.8,29.03690000000006,0.0328804706931565
2021-10-13,4940.1089,4913.8,4913.8,4913.8,4913.8,26.308899999999998,0.0299051286718987
2021-10-14,4913.6123,4891.0,4891.0,4891.0,4891.0,22.612299999999777,0.0262456143390672
2021-10-15,4932.1084,4920.4,4920.4,4920.4,4920.4,11.708400000000438,0.0137536273437101
2021-10-18,4874.7753,4820.0,4820.0,4820.0,4820.0,54.77530000000024,0.0271610202958335
2021-10-19,4922.7232,4867.2,4867.2,4867.2,4867.2,55.52320000000054,0.0274454702903738
2021-10-20,4910.1846,4860.6,4860.6,4860.6,4860.6,49.58459999999923,0.0247374876440452
2021-10-21,4928.0156,4888.0,4888.0,4888.0,4888.0,40.01559999999972,0.0200257323904616
2021-10-22,4959.7254,4926.2,4926.2,4926.2,4926.2,33.525400000000445,0.0167838606822982
2021-10-25,4979.5235,4944.0,4944.0,4944.0,4944.0,35.52350000000024,0.0180824942107636
2021-10-26,4963.0984,4922.8,4922.8,4922.8,4922.8,40.29839999999968,0.0207248666372505
2021-10-27,4898.1644,4847.8,4847.8,4847.8,4847.8,50.36439999999948,0.0264298578325369
